tag,doc_code,subtype_code,use_code,description,attribute,description_attr
RS                                                ,1,4,1,Rs (names of vehicles)                            ,TYPE                                              ,Type                                              
LIVESWITH                                         ,1,4,1,Lives With                                        ,                                                  ,                                                  
MONTH                                             ,0,0,0,                                                  ,VALUE                                             ,                                                  
DEATH                                             ,2,0,1,Death                                             ,                                                  ,                                                  
FOREIGN                                           ,0,0,0,                                                  ,REG                                               ,                                                  
ADDRLINE                                          ,1,4,0,                                                  ,                                                  ,                                                  
HEAD                                              ,0,0,0,                                                  ,                                                  ,                                                  
REMUNERATION                                      ,2,0,0,Remuneration (non-literary)                       ,CURRENCYCONTEXT                                   ,Currency Context                                  
LIVESWITH                                         ,2,0,1,Lives With                                        ,                                                  ,                                                  
DATE                                              ,0,0,1,Date                                              ,                                                  ,                                                  
RDESTRUCTIONOFWORK                                ,0,0,1,Destruction of Work                               ,DESTROYEDBY                                       ,Destroyed By                                      
RPENALTIES                                        ,0,0,1,Penalties (for writing)                           ,                                                  ,                                                  
SEXUALIDENTITY                                    ,2,0,0,Sexual Identity                                   ,HISTORICALTERMCONTEXTDATE                         ,Historical Term Context Date                      
DATERANGE                                         ,0,0,0,                                                  ,FROM                                              ,                                                  
NAME                                              ,0,0,1,Name                                              ,                                                  ,                                                  
TITLE                                             ,5,0,0,                                                  ,TITLETPE                                          ,                                                  
KEYWORDCLASS                                      ,0,0,0,Keyword                                           ,KEYWORDTYPE                                       ,                                                  
QUOTE                                             ,5,0,0,                                                  ,DIRECT                                            ,                                                  
BIRTHPOSITION                                     ,1,4,1,Birth Position                                    ,                                                  ,                                                  
RS                                                ,0,0,1,Rs (names of vehicles)                            ,TYPE                                              ,Type                                              
ADDRESS                                           ,1,4,1,Address (within place)                            ,                                                  ,                                                  
STANDARD                                          ,2,0,0,                                                  ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,5,0,Chronology Structure                              ,RELEVANCE2                                        ,Relevance2                                        
SCHOOL                                            ,2,0,1,School                                            ,INSTITUTION                                       ,Institution                                       
RRESPONSES                                        ,0,0,1,Responses (literary)                              ,FORMALITY                                         ,Formality                                         
FILEDESC                                          ,2,0,0,                                                  ,                                                  ,                                                  
PRELATIONSWITHPUBLISHER                           ,0,0,1,Relations with Publisher                          ,                                                  ,                                                  
MONTH                                             ,1,4,0,                                                  ,VALUE                                             ,                                                  
PLACENAME                                         ,2,0,0,Placename (e.g. building name)                    ,REG                                               ,                                                  
GEOG                                              ,2,0,1,Geography (country or continent)                  ,                                                  ,                                                  
CONTESTEDBEHAVIOUR                                ,2,0,1,Contested Behaviour (at school)                   ,                                                  ,                                                  
TGENRE                                            ,1,4,1,Genre                                             ,                                                  ,                                                  
DENOMINATION                                      ,2,0,1,Denomination                                      ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
FOREIGN                                           ,0,0,0,                                                  ,                                                  ,                                                  
RRECOGNITIONNAME                                  ,1,4,1,Recognition Name                                  ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,5,0,Chronology Structure                              ,RELEVANCE3                                        ,Relevance3                                        
RS                                                ,2,0,1,Rs (names of vehicles)                            ,TYPE                                              ,Type                                              
INDEXED                                           ,2,0,1,Indexed Form of Name                              ,                                                  ,                                                  
DATESTRUCT                                        ,1,4,0,                                                  ,CALENDAR                                          ,                                                  
TIME                                              ,2,0,0,                                                  ,                                                  ,                                                  
SEXUALIDENTITY                                    ,2,0,1,Sexual Identity                                   ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
TITLE                                             ,5,0,0,Title (of text)                                   ,REG                                               ,                                                  
RSHEINFLUENCED                                    ,0,0,1,She Influenced                                    ,                                                  ,                                                  
EDUCATION                                         ,2,0,1,Education                                         ,MODE                                              ,Mode                                              
SCHOOL                                            ,1,4,1,School                                            ,RELIGIOUS                                         ,Religious                                         
RACECOLOUR                                        ,2,0,1,"Race, Colour                                      ",SELF-DEFINED                                      ,Self-Defined                                      
OTHERLIFEEVENT                                    ,2,0,1,Other Life Event                                  ,                                                  ,                                                  
ORLANDOHEADER                                     ,0,0,0,                                                  ,TYPE                                              ,                                                  
PMATERIALCONDITIONS                               ,1,4,1,Material Conditions (of writing)                  ,DISPLACEMENT                                      ,Displacement                                      
TGENREISSUE                                       ,0,0,1,Genre Issue                                       ,                                                  ,                                                  
PROFESSIONALTITLE                                 ,2,0,0,Professional Title                                ,REG                                               ,                                                  
FILEDESC                                          ,0,0,0,                                                  ,                                                  ,                                                  
PRELATIONSWITHPUBLISHER                           ,0,0,1,Relations with Publisher                          ,RELATIONSHIPTYPE                                  ,Relationship Type                                 
PLACENAME                                         ,0,0,0,Placename (e.g. building name)                    ,REG                                               ,                                                  
TIME                                              ,1,4,0,                                                  ,                                                  ,                                                  
PSEUDONYM                                         ,2,0,1,Pseudonym                                         ,NAMESIGNIFIER                                     ,Name Signifier                                    
PMANUSCRIPTHISTORY                                ,0,0,1,Manuscript History                                ,                                                  ,                                                  
SIGNIFICANTACTIVITY                               ,2,0,0,Significant Activity (unpaid)                     ,REG                                               ,                                                  
TITLED                                            ,2,0,1,Title (of person)                                 ,WROTEORPUBLISHEDAS                                ,Wrote or Published As                             
PMODEOFPUBLICATION                                ,0,0,1,Mode of Publication                               ,PUBLICATIONMODE                                   ,Publication Mode                                  
ORGNAME                                           ,2,0,1,Organization Name                                 ,                                                  ,                                                  
CORR                                              ,2,0,0,                                                  ,SIC                                               ,                                                  
PPERFORMANCE                                      ,0,0,1,Performance (of text)                             ,                                                  ,                                                  
LB                                                ,2,0,0,                                                  ,                                                  ,                                                  
PAUTHORSHIP                                       ,1,4,1,Authorship                                        ,CONTROVERSYDATE                                   ,Controversy Date                                  
IMPRINT                                           ,5,0,0,                                                  ,                                                  ,                                                  
JOB                                               ,2,0,1,Job                                               ,CURRENTALTERNATIVETERM                            ,Current Alternative Term                          
PNONSURVIVAL                                      ,0,0,1,Non Survival (of text)                            ,                                                  ,                                                  
POLITICALAFFILIATION                              ,1,4,1,Political Affiliation                             ,ACTIVISM                                          ,Activism                                          
NICKNAME                                          ,2,0,1,Nickname                                          ,NAMECONNOTATION                                   ,Name Connotation                                  
DIV1                                              ,2,0,0,                                                  ,ID                                                ,                                                  
AWARD                                             ,1,4,1,Award (educational)                               ,                                                  ,                                                  
EMPH                                              ,5,0,0,                                                  ,                                                  ,                                                  
NATIONALITY                                       ,1,4,0,Nationality                                       ,REG                                               ,                                                  
DATERANGE                                         ,2,0,0,                                                  ,CALENDAR                                          ,                                                  
ADDRLINE                                          ,1,5,0,                                                  ,                                                  ,                                                  
SEASON                                            ,0,0,0,                                                  ,                                                  ,                                                  
DATE                                              ,1,5,1,Date                                              ,CALENDAR                                          ,Calendar                                          
QUOTE                                             ,0,0,1,Quote                                             ,                                                  ,                                                  
TEXTSCOPE                                         ,0,0,0,                                                  ,                                                  ,                                                  
TMOTIF                                            ,1,4,1,Motif                                             ,                                                  ,                                                  
AUTHOR_ROLE                                       ,5,0,0,                                                  ,PUBLISHED_AS_NAME                                 ,                                                  
CHRONSTRUCT                                       ,2,0,0,Chronology Structure                              ,RELEVANCE                                         ,Relevance                                         
SEASON                                            ,1,4,0,                                                  ,CERTAINTY                                         ,                                                  
PLITERARYSCHOOLS                                  ,1,4,1,Literary Schools                                  ,                                                  ,                                                  
PMOTIVES                                          ,0,0,1,Motives (literary)                                ,                                                  ,                                                  
YEAR                                              ,1,4,0,                                                  ,REG                                               ,                                                  
PADVERTISING                                      ,1,4,1,Advertising                                       ,                                                  ,                                                  
REGION                                            ,0,0,1,"Region (county, province, etc.)                   ",                                                  ,                                                  
DATERANGE                                         ,1,5,0,                                                  ,CERTAINTY                                         ,                                                  
CHRONSTRUCT                                       ,2,0,0,Chronology Structure                              ,RELEVANCE2                                        ,Relevance2                                        
SIGNIFICANTACTIVITY                               ,2,0,1,Significant Activity (unpaid)                     ,PHILANTHROPYVOLUNTEER                             ,Philanthropy Volunteer                            
DIV1                                              ,0,0,0,                                                  ,ID                                                ,                                                  
CHRONSTRUCT                                       ,1,4,0,Chronology Structure                              ,CHRONCOLUMN                                       ,Chronology Column                                 
PANTHOLOGIZATION                                  ,0,0,1,Anthologization                                   ,                                                  ,                                                  
TSETTINGPLACE                                     ,0,0,1,Setting Place                                     ,SETTINGCLASS                                      ,Setting Class                                     
DATESTRUCT                                        ,2,0,0,                                                  ,CALENDAR                                          ,                                                  
CHRONSTRUCT                                       ,1,5,0,Chronology Structure                              ,RELEVANCE1                                        ,Relevance1                                        
TITLE                                             ,2,0,1,Title (of text)                                   ,                                                  ,                                                  
LG                                                ,0,0,0,                                                  ,                                                  ,                                                  
DATESTRUCT                                        ,1,5,0,                                                  ,VALUE                                             ,                                                  
TITLE                                             ,1,4,0,Title (of text)                                   ,REND                                              ,                                                  
COMPANION                                         ,2,0,1,Companion (in schooling)                          ,                                                  ,                                                  
PLACE                                             ,5,0,0,Place                                             ,REG                                               ,                                                  
TOPIC                                             ,2,0,0,Topic                                             ,STANDARD                                          ,                                                  
LINK                                              ,0,0,0,                                                  ,HREF                                              ,                                                  
YEAR                                              ,0,0,0,                                                  ,                                                  ,                                                  
AUTHOR_ROLE                                       ,5,0,0,                                                  ,STANDARD                                          ,                                                  
CHRONSTRUCT                                       ,2,0,0,Chronology Structure                              ,                                                  ,                                                  
BIBLIOGRAPHY_ENTRY                                ,5,0,0,                                                  ,                                                  ,                                                  
CLASSISSUE                                        ,2,0,1,Class Issue                                       ,                                                  ,                                                  
YEAR                                              ,1,5,0,                                                  ,CERTAINTY                                         ,                                                  
POLITICALAFFILIATION                              ,2,0,1,Political Affiliation                             ,ACTIVISM                                          ,Activism                                          
FOREIGN                                           ,2,0,0,                                                  ,                                                  ,                                                  
POLITICALAFFILIATION                              ,2,0,1,Political Affiliation                             ,                                                  ,                                                  
SEASON                                            ,2,0,0,                                                  ,CERTAINTY                                         ,                                                  
INTIMATERELATIONSHIPS                             ,2,0,1,Intimate Relationships                            ,EROTIC                                            ,Erotic                                            
GEOGHERITAGE                                      ,2,0,0,Geographical Heritage                             ,HISTORICALTERM                                    ,Historical Term                                   
VOLUME_COUNT                                      ,5,0,0,                                                  ,                                                  ,                                                  
WEALTH                                            ,2,0,1,Wealth                                            ,                                                  ,                                                  
ORGNAME                                           ,0,0,0,Organization Name                                 ,ORGTYPE                                           ,                                                  
PLACE                                             ,6,0,1,Place                                             ,                                                  ,                                                  
AUTHOR_ROLE                                       ,5,0,0,                                                  ,PRESENT_ORDER                                     ,                                                  
TTONESTYLE                                        ,0,0,1,Tone or Style                                     ,                                                  ,                                                  
ADDRESS                                           ,0,0,0,Address (within place)                            ,CURRENT                                           ,                                                  
NATIONALHERITAGE                                  ,2,0,0,National Heritage                                 ,HISTORICALTERM                                    ,                                                  
ORLANDOHEADER                                     ,2,0,0,                                                  ,TYPE                                              ,                                                  
DEGREE                                            ,2,0,1,Degree                                            ,                                                  ,                                                  
BIBCIT                                            ,0,0,0,Bibliographic Citation                            ,QTDIN                                             ,Quoted In                                         
ETHNICITY                                         ,2,0,1,Ethnicity                                         ,FOREBEAR                                          ,Forebear                                          
P                                                 ,2,0,0,                                                  ,                                                  ,                                                  
EDUCATION                                         ,2,0,1,Education                                         ,                                                  ,                                                  
SOCALLED                                          ,5,0,0,                                                  ,                                                  ,                                                  
PLACENAME                                         ,0,0,1,Placename (e.g. building name)                    ,                                                  ,                                                  
RLANDMARKTEXT                                     ,0,0,1,Landmark Text                                     ,                                                  ,                                                  
NAME                                              ,1,5,0,Name                                              ,STANDARD                                          ,                                                  
DIV2                                              ,0,0,0,                                                  ,                                                  ,                                                  
PCOPYRIGHT                                        ,1,4,1,Copyright                                         ,                                                  ,                                                  
OCCASION                                          ,1,5,0,                                                  ,                                                  ,                                                  
TCHARACTERNAME                                    ,1,4,1,Character Name                                    ,                                                  ,                                                  
TSETTINGPLACE                                     ,0,0,1,Setting Place                                     ,SETTINGPLACETYPE                                  ,Setting Place Type                                
CHRONSTRUCT                                       ,0,0,0,Chronology Structure                              ,                                                  ,                                                  
CHRONSTRUCT                                       ,2,0,0,Chronology Structure                              ,RELEVANCE3                                        ,Relevance3                                        
P                                                 ,0,0,0,                                                  ,ID                                                ,                                                  
RBESTKNOWNWORK                                    ,1,4,1,Best Known Work                                   ,                                                  ,                                                  
BIBCITS                                           ,1,5,0,                                                  ,                                                  ,                                                  
RRESPONSES                                        ,1,4,1,Responses (literary)                              ,                                                  ,                                                  
P                                                 ,5,0,0,                                                  ,                                                  ,                                                  
SETTLEMENT                                        ,1,4,0,"Settlement (city, town, village)                  ",CURRENT                                           ,                                                  
REGION                                            ,1,5,0,"Region (county, province, etc.)                   ",CURRENT                                           ,                                                  
NATIONALITY                                       ,2,0,1,Nationality                                       ,SELF-DEFINED                                      ,Self-Defined                                      
EMPH                                              ,1,5,0,                                                  ,                                                  ,                                                  
RS                                                ,1,5,1,Rs (names of vehicles)                            ,TYPE                                              ,Type                                              
PINFLUENCESHER                                    ,0,0,1,Influences Her                                    ,                                                  ,                                                  
TINTERTEXTUALITY                                  ,1,4,1,Intertextuality                                   ,                                                  ,                                                  
NATIONALITY                                       ,2,0,0,Nationality                                       ,REG                                               ,                                                  
SELFCONSTRUCTED                                   ,2,0,1,Self Constructed Name                             ,NAMESIGNIFIER                                     ,Name Signifier                                    
DATESTRUCT                                        ,0,0,0,                                                  ,                                                  ,                                                  
TITLED                                            ,2,0,1,Title (of person)                                 ,                                                  ,                                                  
STYLED                                            ,2,0,1,Styled (for courtesy titles)                      ,                                                  ,                                                  
CHRONSTRUCT                                       ,2,0,0,Chronology Structure                              ,RELEVANCE1                                        ,Relevance1                                        
CHRONSTRUCT                                       ,2,0,0,Chronology Structure                              ,CHRONCOLUMN1                                      ,Chronology Column1                                
NAME                                              ,5,0,1,Name                                              ,                                                  ,                                                  
HEALTH                                            ,2,0,1,Health                                            ,                                                  ,                                                  
TINTERTEXTUALITY                                  ,1,4,1,Intertextuality                                   ,INTERTEXTTYPE                                     ,Intertext Type                                    
PPRESSRUN                                         ,1,4,1,Press Run                                         ,                                                  ,                                                  
PDISPLACEMENTGEOGRAPHICAL                         ,1,4,0,Production: Displacement Geographical             ,                                                  ,                                                  
PEARNINGS                                         ,0,0,1,Earnings (literary)                               ,                                                  ,                                                  
DATE                                              ,0,0,0,Date                                              ,CERTAINTY                                         ,                                                  
FOREIGN                                           ,1,5,0,                                                  ,REG                                               ,                                                  
TEXT                                              ,2,0,0,Text (formative)                                  ,REG                                               ,                                                  
QUOTE                                             ,5,0,0,                                                  ,QUOTEDIRECT                                       ,                                                  
BIBCITS                                           ,1,4,0,                                                  ,                                                  ,                                                  
GEOGHERITAGE                                      ,2,0,1,Geographical Heritage                             ,FOREBEAR                                          ,Forebear                                          
DATESTRUCT                                        ,0,0,0,                                                  ,VALUE                                             ,                                                  
TIME                                              ,1,4,0,                                                  ,TYPE                                              ,                                                  
ADDRESS                                           ,1,5,1,Address (within place)                            ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,5,0,Chronology Structure                              ,CHRONCOLUMN                                       ,Chronology Column                                 
BIRTH                                             ,2,0,1,Birth                                             ,                                                  ,                                                  
REGION                                            ,2,0,1,"Region (county, province, etc.)                   ",                                                  ,                                                  
GEOG                                              ,1,4,1,Geography (country or continent)                  ,                                                  ,                                                  
TOPIC                                             ,0,0,0,Topic                                             ,                                                  ,                                                  
SEASON                                            ,0,0,0,                                                  ,VALUE                                             ,                                                  
CHRONSTRUCT                                       ,2,0,0,Chronology Structure                              ,CHRONCOLUMN2                                      ,Chronology Column2                                
TSETTINGDATE                                      ,0,0,1,Setting Date                                      ,SETTINGDATETYPE                                   ,Setting Date Type                                 
SETTLEMENT                                        ,0,0,0,"Settlement (city, town, village)                  ",CURRENT                                           ,                                                  
L                                                 ,0,0,0,                                                  ,ID                                                ,                                                  
PSERIALIZATION                                    ,1,4,1,Serialization                                     ,FORMOFSERIALIZATION                               ,Form Of Serialization                             
MONTH                                             ,2,0,0,                                                  ,CERTAINTY                                         ,                                                  
COVER_TITLE                                       ,5,0,0,                                                  ,                                                  ,                                                  
RS                                                ,2,0,0,Rs (names of vehicles)                            ,REG                                               ,                                                  
SELFCONSTRUCTED                                   ,2,0,1,Self Constructed Name                             ,WROTEORPUBLISHEDAS                                ,Wrote or Published As                             
JOB                                               ,1,4,1,Job                                               ,                                                  ,                                                  
CHRONSTRUCT                                       ,1,5,0,Chronology Structure                              ,RELEVANCE                                         ,Relevance                                         
L                                                 ,0,0,0,Line (of poetry)                                  ,PART                                              ,                                                  
YEAR                                              ,1,5,0,                                                  ,VALUE                                             ,                                                  
RECIPIENT                                         ,5,0,0,                                                  ,                                                  ,                                                  
NAME                                              ,5,0,0,Name                                              ,STANDARD                                          ,                                                  
JOB                                               ,2,0,1,Job                                               ,HISTORICALTERMCONTEXTDATE                         ,Historical Term Context Date                      
DATE_OF_ACCESS                                    ,5,0,0,                                                  ,REG                                               ,                                                  
DIV0                                              ,0,0,0,                                                  ,                                                  ,                                                  
JOB                                               ,1,4,0,Job                                               ,REG                                               ,                                                  
LANGUAGE                                          ,2,0,0,                                                  ,REG                                               ,                                                  
YEAR                                              ,2,0,0,                                                  ,                                                  ,                                                  
ETHNICITY                                         ,2,0,1,Ethnicity                                         ,SELF-DEFINED                                      ,Self-Defined                                      
PEDITIONS                                         ,0,0,1,Editions                                          ,                                                  ,                                                  
YEAR                                              ,2,0,0,                                                  ,REG                                               ,                                                  
RRESPONSES                                        ,0,0,1,Responses (literary)                              ,                                                  ,                                                  
TGENRE                                            ,1,5,1,Genre                                             ,                                                  ,                                                  
POLITICALAFFILIATION                              ,1,4,0,Political Affiliation                             ,REG                                               ,                                                  
TITLE                                             ,5,0,1,Title (of text)                                   ,                                                  ,                                                  
RRESPONSES                                        ,1,4,1,Responses (literary)                              ,GENDEREDRESPONSE                                  ,Gendered Response                                 
PNONSURVIVAL                                      ,1,4,1,Non Survival (of text)                            ,TYPEOFNONSURVIVAL                                 ,Type Of Non Survival                              
RDESTRUCTIONOFWORK                                ,0,0,1,Destruction of Work                               ,                                                  ,                                                  
KEYWORDCLASS                                      ,2,0,0,Keyword                                           ,KEYWORDTYPE                                       ,                                                  
